star1_id,star2_id,star3_id,area,moment,k
24436,26311,26727,0.0018185830671000585,2.4837610929574955e-06,53
24436,25930,26311,0.0018612557858109099,2.537379352282371e-06,54
42913,45556,45941,0.0034953572023040786,2.5970321274445746e-06,55
24436,26241,26727,0.0026621873305945273,2.9552594229884585e-06,56
59196,59747,61084,0.0029075619621733054,3.0609581391860676e-06,57
86670,87073,90185,0.002060830094854877,3.117907968183717e-06,58
25930,26311,27989,0.002025944439433604,3.268735554482999e-06,59
82514,85696,86670,0.0024676458512175306,3.4764409702606393e-06,60
59803,60965,61359,0.003677763914293063,3.543993243997953e-06,61
92855,93506,94141,0.0031292599424767764,3.5774124427691346e-06,62
90496,92855,93506,0.003204129326951762,3.5889510699970003e-06,63
60718,61585,62434,0.0029420306759616625,3.62986345152534e-06,64
78265,78401,80763,0.003660170617306387,3.635426460977085e-06,65
23875,25930,26727,0.003105401690263711,3.7792196952183093e-06,66
24436,26241,26311,0.0036428627310639435,4.076843212246943e-06,67
82514,85927,86670,0.002802517674399271,4.135099868703927e-06,68
78401,78820,80763,0.003513378591098011,4.208337440452653e-06,69
24436,26241,27366,0.004043052982624023,4.271627526460483e-06,70
78265,78820,80112,0.004726124030950087,4.565755834011942e-06,71
89931,90496,92855,0.004350928708242619,4.773924388006745e-06,72
23875,26241,26727,0.0043068654714978295,5.1884265491840465e-06,73
41037,42913,45556,0.005146290331767783,5.238472698631406e-06,74
23875,24436,25930,0.004071566683183465,5.2667909728734316e-06,75
41037,42913,45941,0.004288110396718437,5.2798470222669055e-06,76
24436,25930,26727,0.003716119898162675,5.3550191290780615e-06,77
41037,45556,45941,0.004355402905789109,5.5717360634747395e-06,78
82396,82514,85696,0.004429786357106971,5.637048348954682e-06,79
23875,26241,26311,0.00494324497411253,5.6471917908123715e-06,80
23875,24436,26311,0.00433706923424281,5.707287136585546e-06,81
24436,25930,26241,0.0047225587249683666,5.814363519634359e-06,82
85927,86670,88635,0.0037373318523573375,6.087788064059634e-06,83
23875,25930,26241,0.005757478201057452,6.777261093614205e-06,84
78265,78401,81266,0.00445839882114442,6.782042581008065e-06,85
23875,24436,26727,0.00468228486887671,6.782861288440471e-06,86
82396,82514,85927,0.004769590079276309,6.807177943517796e-06,87
89931,92855,93506,0.004982840301078419,7.004203339706671e-06,88
746,3179,6686,0.004972556129969273,7.009441173025195e-06,89
85696,86670,88635,0.004299633888226986,7.44786437431982e-06,90
59196,61084,61932,0.006069639821445926,7.823244244902035e-06,91
88635,90185,90496,0.005897620935573695,8.005195685453742e-06,92
68002,71352,71860,0.006307419156747307,8.8901910789997e-06,93
78265,78820,80763,0.0066714752675751015,9.206621897414697e-06,94
89931,90496,93506,0.006129738534602388,9.413744080016112e-06,95
33579,35264,35904,0.006646663886820841,9.821148093371047e-06,96
74946,77952,82273,0.007017626033175013,9.827738883382765e-06,97
89931,90185,93506,0.006198148755229502,9.89215888099029e-06,98
82514,86228,86670,0.006044805417851899,1.0936507027581961e-05,99
82514,85696,86228,0.006854026384926142,1.11528560807419e-05,100
82514,85927,86228,0.007499519402954692,1.2875581401774926e-05,101
25336,25930,27989,0.0078189158035015,1.2983592307604442e-05,102
97165,100453,102098,0.007798338827336819,1.361623409316648e-05,103
71681,74946,77952,0.008182017947439111,1.404631770947878e-05,104
71683,74946,77952,0.008183138282390721,1.4050335745841124e-05,105
86670,88635,90185,0.007818228175574536,1.4444801345485132e-05,106
25336,26311,27989,0.009011456813828648,1.6579267166175916e-05,107
24436,26727,27366,0.009274684836173205,1.675975367451011e-05,108
24436,26311,27366,0.009947790507322855,1.9114062582127652e-05,109
